epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7382.84,1.65576,1.89417,1.84453,0.43314,0.37931,0.34581,0.12084,1.23805,3.50768,1.42493,0.0011882,0.0011882,0.0011882
43,7558.28,1.68422,1.83353,1.85426,0.54541,0.30542,0.37572,0.13578,1.16656,6.96945,1.36672,0.0011684,0.0011684,0.0011684
44,7734.45,1.67297,1.89815,1.8295,0.31702,0.31527,0.26408,0.09633,1.35905,4.36877,1.58964,0.0011486,0.0011486,0.0011486
45,7911.06,1.7616,1.89282,1.84881,0.46113,0.34975,0.33538,0.11121,1.37025,5.84779,1.56311,0.0011288,0.0011288,0.0011288
46,8086.89,1.69599,1.8525,1.85241,0.47517,0.32512,0.32554,0.12655,1.34554,6.53193,1.59021,0.001109,0.001109,0.001109
47,8261.83,1.69992,1.84874,1.84784,0.41557,0.38916,0.33525,0.12618,1.29918,6.51626,1.55592,0.0010892,0.0010892,0.0010892
48,8436.38,1.65489,1.80918,1.80758,0.4885,0.3399,0.34548,0.11475,1.2861,3.27139,1.51864,0.0010694,0.0010694,0.0010694
49,8610.85,1.65696,1.82949,1.82651,0.48106,0.31527,0.34375,0.12408,1.28213,4.15987,1.57833,0.0010496,0.0010496,0.0010496
50,8784.07,1.58699,1.73127,1.77309,0.54334,0.31527,0.35662,0.13262,1.20225,4.88749,1.40294,0.0010298,0.0010298,0.0010298
51,8959.72,1.66129,1.76612,1.78965,0.46121,0.36453,0.36978,0.13707,1.2711,4.46897,1.46215,0.00101,0.00101,0.00101
52,9133.82,1.65797,1.75176,1.80596,0.4339,0.30961,0.30721,0.1184,1.30671,3.00922,1.54147,0.0009902,0.0009902,0.0009902
53,9310.68,1.66463,1.76653,1.8,0.54249,0.35468,0.37757,0.12616,1.33288,4.23805,1.50495,0.0009704,0.0009704,0.0009704
54,9486.1,1.68024,1.81527,1.81182,0.4453,0.3399,0.31599,0.09809,1.36946,5.55106,1.49438,0.0009506,0.0009506,0.0009506
55,9658.53,1.59719,1.75595,1.7642,0.48161,0.39409,0.37921,0.13881,1.35315,4.32153,1.55732,0.0009308,0.0009308,0.0009308
56,9833.77,1.61958,1.72115,1.80102,0.44989,0.3787,0.3608,0.12924,1.37625,3.90269,1.67608,0.000911,0.000911,0.000911
57,10008.7,1.59825,1.71263,1.73843,0.5004,0.37931,0.36163,0.1288,1.40304,3.5588,1.62515,0.0008912,0.0008912,0.0008912
58,10184.1,1.60208,1.6953,1.74041,0.52005,0.33094,0.35299,0.12977,1.45331,3.45977,1.6921,0.0008714,0.0008714,0.0008714
59,10358.7,1.59016,1.65299,1.72005,0.50633,0.33346,0.33902,0.12705,1.32872,5.73132,1.55793,0.0008516,0.0008516,0.0008516
60,10534.7,1.63438,1.68695,1.77974,0.46642,0.34975,0.34486,0.1189,1.29822,8.93906,1.5396,0.0008318,0.0008318,0.0008318
61,10708.8,1.56537,1.72539,1.74029,0.43355,0.37931,0.34434,0.13247,1.27199,3.8544,1.53437,0.000812,0.000812,0.000812
62,10883.5,1.55688,1.63248,1.71784,0.47325,0.38063,0.37297,0.12592,1.30909,4.51043,1.53618,0.0007922,0.0007922,0.0007922
63,11059.1,1.50492,1.58175,1.70495,0.46232,0.31034,0.34027,0.13715,1.31235,3.58597,1.6444,0.0007724,0.0007724,0.0007724
64,11234.4,1.60533,1.69507,1.74258,0.49658,0.35468,0.36038,0.13306,1.33836,3.18982,1.61697,0.0007526,0.0007526,0.0007526
65,11409.6,1.53791,1.62364,1.70758,0.40383,0.4335,0.36673,0.14124,1.30864,2.5187,1.49236,0.0007328,0.0007328,0.0007328
66,11585.1,1.52511,1.58652,1.69036,0.40429,0.36946,0.33268,0.12672,1.39994,3.15416,1.60467,0.000713,0.000713,0.000713
67,11761.3,1.50271,1.54022,1.69484,0.54064,0.32512,0.38161,0.15389,1.29803,4.7009,1.49188,0.0006932,0.0006932,0.0006932
68,11937.4,1.5084,1.60512,1.70565,0.48129,0.32512,0.32852,0.11828,1.26574,3.43955,1.52105,0.0006734,0.0006734,0.0006734
69,12112.7,1.52227,1.5679,1.70243,0.51814,0.32512,0.36831,0.12908,1.27646,2.84022,1.48361,0.0006536,0.0006536,0.0006536
70,12288,1.56894,1.58003,1.72063,0.44153,0.35961,0.35319,0.11913,1.35587,2.8404,1.58336,0.0006338,0.0006338,0.0006338
71,12464,1.569,1.53309,1.71727,0.44674,0.36197,0.33787,0.11977,1.38354,3.84302,1.49339,0.000614,0.000614,0.000614
72,12638.6,1.5122,1.51877,1.70367,0.47826,0.28571,0.30379,0.11291,1.37685,3.94021,1.52846,0.0005942,0.0005942,0.0005942
73,12814.3,1.53142,1.5405,1.68528,0.51494,0.33498,0.35427,0.13242,1.41937,3.56221,1.65231,0.0005744,0.0005744,0.0005744
74,12989.1,1.48482,1.48376,1.70188,0.49166,0.36946,0.35656,0.13617,1.31479,3.19398,1.55664,0.0005546,0.0005546,0.0005546
75,13163,1.46371,1.50027,1.6594,0.50111,0.36453,0.36662,0.11945,1.3601,3.26249,1.6307,0.0005348,0.0005348,0.0005348
76,13337.2,1.47554,1.4728,1.66698,0.43185,0.39409,0.37209,0.13845,1.43247,3.73035,1.68236,0.000515,0.000515,0.000515
77,13511.4,1.44628,1.45203,1.64846,0.3929,0.37438,0.3542,0.12625,1.4554,4.25664,1.62927,0.0004952,0.0004952,0.0004952
78,13686.8,1.45588,1.40659,1.64878,0.51654,0.34483,0.35549,0.12063,1.44336,3.96493,1.65845,0.0004754,0.0004754,0.0004754
79,13861.8,1.47195,1.46452,1.669,0.44736,0.37438,0.36391,0.12089,1.42184,3.64203,1.60093,0.0004556,0.0004556,0.0004556
80,14037.1,1.43934,1.47435,1.64039,0.43171,0.31527,0.3314,0.11263,1.36782,4.16784,1.5551,0.0004358,0.0004358,0.0004358
81,14211.4,1.44852,1.4205,1.65649,0.41978,0.39409,0.34639,0.11349,1.39043,3.82892,1.63412,0.000416,0.000416,0.000416
82,14385,1.40988,1.4007,1.6265,0.57297,0.33005,0.35972,0.12053,1.35661,3.97695,1.55839,0.0003962,0.0003962,0.0003962
83,14559.9,1.42492,1.37929,1.63221,0.46679,0.35468,0.35508,0.12509,1.41293,3.7599,1.63256,0.0003764,0.0003764,0.0003764
84,14735.6,1.36439,1.36066,1.60086,0.55915,0.34364,0.36742,0.13851,1.37157,3.4676,1.58921,0.0003566,0.0003566,0.0003566
85,14911.1,1.3969,1.37485,1.59777,0.48415,0.34975,0.34906,0.1182,1.37087,4.01884,1.57975,0.0003368,0.0003368,0.0003368
86,15090.7,1.41663,1.41086,1.62153,0.52015,0.35777,0.3704,0.12356,1.43128,3.40276,1.6411,0.000317,0.000317,0.000317
87,15266,1.37248,1.37637,1.60786,0.47558,0.35293,0.35437,0.12038,1.42782,2.70691,1.65525,0.0002972,0.0002972,0.0002972
88,15442.4,1.38337,1.34513,1.58513,0.39555,0.41872,0.34925,0.11815,1.44189,3.33133,1.61955,0.0002774,0.0002774,0.0002774
89,15618.4,1.34137,1.31633,1.56751,0.48849,0.34342,0.34854,0.12258,1.38002,3.57888,1.65598,0.0002576,0.0002576,0.0002576
90,15796,1.38914,1.39104,1.61172,0.46594,0.33005,0.34812,0.12712,1.40824,3.71362,1.64837,0.0002378,0.0002378,0.0002378
91,15968.8,1.43535,1.43514,1.70308,0.51164,0.28079,0.32028,0.11667,1.47703,3.92341,1.68263,0.000218,0.000218,0.000218
92,16141,1.34892,1.29417,1.66321,0.49703,0.3202,0.33835,0.12017,1.38813,4.34203,1.70455,0.0001982,0.0001982,0.0001982
93,16312,1.33823,1.24908,1.66857,0.52324,0.31527,0.34522,0.12625,1.33817,4.93079,1.66705,0.0001784,0.0001784,0.0001784
94,16482.4,1.32058,1.21321,1.63703,0.39497,0.37438,0.35537,0.11529,1.35889,5.18908,1.64942,0.0001586,0.0001586,0.0001586
95,16653,1.35855,1.23983,1.63224,0.53614,0.33005,0.36231,0.12601,1.40399,4.41453,1.70776,0.0001388,0.0001388,0.0001388
96,16823.5,1.31068,1.22315,1.62242,0.47626,0.36946,0.36971,0.12332,1.40782,4.73479,1.681,0.000119,0.000119,0.000119
97,16993.2,1.3029,1.18666,1.61293,0.50171,0.35468,0.35995,0.12085,1.40934,4.84574,1.70809,9.92e-05,9.92e-05,9.92e-05
98,17163.8,1.24341,1.16266,1.58172,0.50801,0.35468,0.3558,0.12057,1.44624,4.67782,1.72018,7.94e-05,7.94e-05,7.94e-05
99,17334.5,1.27376,1.20056,1.61481,0.5123,0.34975,0.3595,0.11846,1.40562,4.42675,1.67631,5.96e-05,5.96e-05,5.96e-05
100,17505.3,1.25437,1.16121,1.58714,0.48246,0.34483,0.36225,0.11896,1.41464,4.2821,1.64821,3.98e-05,3.98e-05,3.98e-05
